key,label,nodata_pct,depth_min,depth_max,depth_mean,depth_std,depth_valid_pct,slope_min,slope_max,slope_mean,slope_std,slope_valid_pct,bpi_fine_min,bpi_fine_max,bpi_fine_mean,bpi_fine_std,bpi_fine_valid_pct,bpi_broad_min,bpi_broad_max,bpi_broad_mean,bpi_broad_std,bpi_broad_valid_pct,vrm_min,vrm_max,vrm_mean,vrm_std,vrm_valid_pct
roses,Roses,76.6,-51.97,72.93,-14.423,26.354,23.43,0.0,85.981,16.094,16.387,23.352,-12.186,12.047,0.003,0.526,23.43,-27.903,29.688,0.358,5.32,23.43,-0.0,0.778,0.007,0.029,23.352
medes,Illes Medes,54.4,-34.7,98.6,-7.02,15.83,45.642,0.0,88.897,6.08,12.147,45.569,-45.949,47.719,0.0,1.063,45.642,-55.079,57.659,0.157,6.053,45.642,-0.0,0.904,0.005,0.027,45.569
formigues,Illes Formigues,18.2,-58.0,76.41,-24.671,17.333,81.768,0.0,85.41,5.076,10.51,81.688,-17.544,11.323,0.0,0.338,81.768,-23.014,33.63,0.086,2.775,81.768,-0.0,0.61,0.003,0.02,81.688
tossa,Tossa de Mar,82.7,-37.7,107.95,-9.516,22.683,17.25,0.0,88.009,11.177,16.493,17.212,-19.241,18.953,0.001,0.697,17.25,-41.249,35.954,0.219,5.315,17.25,-0.0,0.681,0.008,0.034,17.212
garraf,Costa del Garraf,0.0,-28.48,-7.8,-19.865,4.306,100.0,0.0,42.839,0.687,0.586,100.0,-0.888,0.766,0.0,0.016,100.0,-0.963,0.992,0.0,0.099,100.0,-0.0,0.556,0.001,0.015,100.0
salou,Cap de Salou,66.4,-18.63,69.88,-2.812,10.642,33.562,0.0,86.651,5.443,12.253,33.481,-19.814,19.012,-0.001,0.639,33.562,-24.16,30.011,0.079,3.341,33.562,-0.0,0.786,0.007,0.036,33.481
